ent_payouts,pro_payouts
120000,68600
164000,120000
210000,164000
258000,210000
308000,258000
360000,308000
416000,360000
476000,416000
539000,476000
607000,539000
679000,607000
756000,679000
838000,756000
915000,838000
996000,915000
1080000,996000
1170000,1080000
1264000,1170000
1467000,1264000
1695000,1467000
1950000,1695000
2240000,1950000
2572000,2240000
2824000,2572000
3091000,2824000
3375000,3091000
3678000,3375000
4000000,3678000
4345000,4000000
4715000,4345000
5112000,4715000
5539000,5112000
6000000,5539000
9000000,6000000
